"","Species.Common.Name","Species.Latin.Name","Species.ID","short_name"
"83","Lesser Long-nosed Bat","Leptonycteris yerbabuenae",68,"Leptonycteris yerbabuenae"
"84","Lesser Yellowlegs","Tringa flavipes",143,"Tringa flavipes"
"85","Lewis’s Woodpecker","Melanerpes lewis",24,"Melanerpes lewis"
"86","Lewis's Woodpecker","Mealnerpes lewis",133,"Mealnerpes lewis"
"87","Little Brown Bat","Myotis lucifugus",2,"Myotis lucifugus"
"88","Loggerhead Sea Turtle","Caretta caretta",81,"Caretta caretta"
"89","Loggerhead Shrike","Lanius ludovicianus",19,"Lanius ludovicianus"
"90","Long-billed Curlew","Numenius americanus",116,"Numenius americanus"
"91","Long-eared Owl","Asio otus",146,"Asio otus"
"92","Long-tailed Duck","Clangula hyemalis",204,"Clangula hyemalis"
"93","Marbled Godwit","Limosa fedoa",118,"Limosa fedoa"
"94","Marbled Murrelet","Brachyramphus marmoratus",36,"Brachyramphus marmoratus"
"95","Mariana Common Moorhen","Gallinula chloropus guami",48,"Gallinula chloropus"
"96","Mariana Eight-spot Butterfly","Hypolimnas octocula marianensis",50,"Hypolimnas octocula"
"97","Mariana Fruit Bat","Pteropus mariannus mariannus",46,"Pteropus mariannus"
"98","Mariana Gray Swiftlet","Aerodramus vanikorensis bartschi",49,"Aerodramus vanikorensis"
"99","McKay’s Western Bumble Bee","Bombus mckayi",65,"Bombus mckayi"
"100","Micronesian Megapode","Megapodius laperouse",47,"Megapodius laperouse"
"101","Mohave Ground Squirrel","Xerospermophilus mohavensis",31,"Xerospermophilus mohavensis"
"102","Mohawk Dunes Fringe-toed lizard","Uma thurmanae",90,"Uma thurmanae"
"103","Mojave Poppy Bee","Perdita meconis",29,"Perdita meconis"
"104","Monarch Butterfly","Danaus plexippus plexippus",12,"Danaus plexippus"
"105","Mountain Plover","Charadrius montanus",83,"Charadrius montanus"
"106","Narrow Pigtoe","Fusconaia escambia",163,"Fusconaia escambia"
"107","Northern Bog Lemming","Synaptomys borealis",38,"Synaptomys borealis"
"108","Northern Diamondback Terrapin","Malaclemys terrapin terrapin",10,"Malaclemys terrapin"
"109","Northern Harrier","Circus hudsonius",98,"Circus hudsonius"
"110","Northern Long-eared Bat","Myotis septentrionalis",3,"Myotis septentrionalis"
"111","Northern Pine Snake","Pituophis melanoleucus melanoleucus",179,"Pituophis melanoleucus"
"112","Northern Pintail","Anas acuta",203,"Anas acuta"
"113","Northern Sea Otter","Enhydra lutris kenyoni",16,"Enhydra lutris"
"114","Northern Spotted Owl","Strix occidentalis caurina",35,"Strix occidentalis"
"115","Northwest Pond Turtle","Actinemys marmorata",136,"Actinemys marmorata"
"116","Nuttall's Woodpecker","Picoides nuttallii",124,"Picoides nuttallii"
"117","Oak Titmouse","Baeolophus inornatus",126,"Baeolophus inornatus"
"118","Okaloosa Darter","Etheostoma okaloosae",162,"Etheostoma okaloosae"
"119","Olive-sided Flycatcher","Contopus cooperi",134,"Contopus cooperi"
"120","Pau dedu","Hedyotis megalantha",63,"Hedyotis megalantha"
"121","Peregrine Falcon","Falco peregrinus",109,"Falco peregrinus"
"122","Pied-billed Grebe","Podilymbus podiceps",107,"Podilymbus podiceps"
"123","Pine Barrens Tree Frog","Hyla andersonii",182,"Hyla andersonii"
"124","Pinyon Jay","Gymnorhinus cyanocephalus",25,"Gymnorhinus cyanocephalus"
"125","Piping Plover","Charadrius melodus melodus",76,"Charadrius melodus"
"126","Prairie Warbler","Setophaga discolor",104,"Setophaga discolor"
"127","Puget Sound Chinook Salmon","Oncorhynchus tshawytscha",42,"Oncorhynchus tshawytscha"
"128","Puget Sound Steelhead","Oncorhynchus mykiss",41,"Oncorhynchus mykiss"
"129","Pyrrhuloxia","Cardinalis sinuatus",87,"Cardinalis sinuatus"
"130","Red-Cockaded Woodpecker","Picoides borealis",154,"Picoides borealis"
"131","Reticulated Flatwoods Salamander","Ambystoma bishopi",159,"Ambystoma bishopi"
"132","Roseate Tern","Sterna dougallii dougallii",75,"Sterna dougallii"
"133","Rufa Red Knot","Calidris canutus rufa",77,"Calidris canutus"
"134","Rufous Hummingbird","Selasphorus rufus",121,"Selasphorus rufus"
"135","Rusty Blackbird","Euphagus carolinus",111,"Euphagus carolinus"
"136","Rusty Patched Bumble Bee","Bombus affinis",11,"Bombus affinis"
"137","Safford’s Leafflower","Phyllanthus saffordii",59,"Phyllanthus saffordii"
"138","Santa Rosa Beach Mouse","Peromyscus polionotus leucocephalus",149,"Peromyscus polionotus"
"139","Savannah Sparrow","Passerculus sandwichensis",172,"Passerculus sandwichensis"
"140","Scalloped Hammerhead Shark","Sphyrna lewini",69,"Sphyrna lewini"
"141","Seriatopora aculeata","Seriatopora aculeata",72,"Seriatopora aculeata"
"142","Seyaihagon","Nervilia jacksoniae",56,"Nervilia jacksoniae"
"143","Short-billed Dowitcher","Limnodromus griseus",119,"Limnodromus griseus"
